model,NoOfCoef,X.Intercept.,coef_1,coef_2,coef_3,intcpt_p.val,p.val_1,p.val_2,p.val_3,adjR2,BIC,DW,vif_1,vif_2,vif_3,BP,BP_p,shapiro,ks_test,cvm_test,ad_test,.id,X171,X172,X173,X174,X175,X176,X177,X178,X179,X180,X181,X182,X183,.id.1,X171.1,X172.1,X173.1,X174.1,X175.1,X176.1,X177.1,X178.1,X179.1,X180.1,X181.1,X182.1,X183.1,.id.2,X171.2,X172.2,X173.2,X174.2,X175.2,X176.2,X177.2,X178.2,X179.2,X180.2,X181.2,X182.2,X183.2
SF_loans ~ 1 + HPI_YoY_G_L2,1,0.00100362433162667,0.138473327538755,0.00100362433162667,0.138473327538755,0.58439584568003,1.55753857352866e-09,0.58439584568003,1.55753857352866e-09,0.413314914114123,-385.698614042483,1.12003980867783,,,,0.281415937939769,0.595774659238229,0.822889471317692,1.88737914186277e-15,0.737232171860255,0.737830046509668,1,0.00870069865767187,0.00577731009677852,0.00426477153815533,0.00431587213540862,0.00293173395558404,0.00445577037558445,0.00450484626686703,0.00448197970813396,0.00446113563097139,0.00450927819336733,0.00462339565569772,0.00480392148534895,0.00498410000752757,1,0.00870069865767187,0.00577731009677852,0.000896113984158712,-0.00408940186128537,-0.00947828071497785,-0.0113254686825083,-0.0111186198300152,-0.0084621091396474,-0.00605089194397139,-0.00348196795949192,-0.00127609550863669,0.000447984725566906,0.00188282006203147,1,0.00870069865767187,0.00577731009677852,-0.0028309113947312,-0.0140617608404138,-0.0242020269342885,-0.0297838822236703,-0.0301777531232009,-0.0246529056192769,-0.0189680781236689,-0.0122231377361903,-0.00584631011206306,-0.00066413802626129,0.0037079858821123
SF_loans ~ 1 + HPI_YoY_G_L1,1,0.00111791005724796,0.137737544803259,0.00111791005724796,0.137737544803259,0.544060921253092,2.38567880302426e-09,0.544060921253092,2.38567880302426e-09,0.405944257182547,-384.837151607967,1.09945167494743,,,,0.634107467670247,0.425852658535309,0.980776958423158,1.88737914186277e-15,0.978761148950015,0.964770708833699,1,0.00586623068072875,0.00436172904717979,0.00441255811967159,0.00303577460514145,0.00455171300579016,0.00460052813065528,0.00457778307415976,0.00455704975271012,0.0046049365079634,0.00471844760327644,0.00489801420279195,0.00507723534026492,0.00525237037087763,1,0.00586623068072875,0.0010109709696678,-0.00394805416776904,-0.00930829903039115,-0.0111456719018313,-0.0109399221477512,-0.00829752691728725,-0.00589912180618842,-0.00334384788667221,-0.00114969641410857,0.000565222861132859,0.0019924341512369,0.00254894948377533,1,0.00586623068072875,-0.00269625073311144,-0.0138674246782918,-0.0239538101233959,-0.0295060060348529,-0.0298977840879629,-0.0244022930491568,-0.0187476720777935,-0.012038571160466,-0.00569562702680198,-0.000540990588629069,0.00380790189065699,0.00570085910675966
SF_loans ~ 1 + HPI_QoQ_G_L3,1,0.00178375373009715,0.516944605330958,0.00178375373009715,0.516944605330958,0.328330227546494,4.10528243027899e-09,0.328330227546494,4.10528243027899e-09,0.396433214256242,-383.74118732307,1.10540557965349,,,,0.286084036757077,0.592740969789066,0.868129294119394,1.88737914186277e-15,0.9750552810417,0.936033259273258,1,0.00499458978805347,0.0100272119426792,-0.000702815257570721,0.00493986426887684,0.00518212534542079,0.00490022459870876,0.00488154911784815,0.00511970799631827,0.00509831840052991,0.00482385922579495,0.00505794611465378,0.00553789029749704,0.00575929503521387,1,0.00499458978805347,0.0100272119426792,-0.000702815257570721,-0.00742156867467698,-0.0137473455235655,-0.0111916248816812,-0.00812753697742599,-0.00658898771340905,-0.00320520925067288,-0.001772185085593,0.00178375373009715,0.00178375373009715,0.00327565735298594,1,0.00499458978805347,0.0100272119426792,-0.000702815257570721,-0.0210980476760557,-0.0383940010627268,-0.0331267910455,-0.0260554172162312,-0.0229051283040277,-0.0138435651531473,-0.00883714145559026,0.00178375373009715,0.00215767387861862,0.00589390238108414
SF_loans ~ 1 + HPI_YoY_G_L3,1,0.00110578062649322,0.133884471148467,0.00110578062649322,0.133884471148467,0.556120097035619,6.62316592547234e-09,0.556120097035619,6.62316592547234e-09,0.38793219312778,-382.77612755362,1.10154482780851,,,,0.0377648154472572,0.845916153999014,0.475642113623197,2.88657986402541e-15,0.8424258002233,0.666435707170113,1,0.00859632952833574,0.00854778222961485,0.00572127160555881,0.00425885693977233,0.00430826411847043,0.00296999478172505,0.00444352628219145,0.00449097585148608,0.00446886706579155,0.0044487137388145,0.00449526090873291,0.00460559664171825,0.00478014004051633,1,0.00859632952833574,0.00854778222961485,0.00572127160555881,0.00100183305572579,-0.00381846818375133,-0.0090287654174034,-0.0108147395724291,-0.010614745467312,-0.00804626866963698,-0.00571495660539254,-0.00323116398485061,-0.00109839176255336,0.000568554316353207,1,0.00859632952833574,0.00854778222961485,0.00572127160555881,-0.00260168273087893,-0.0134603539660483,-0.02326458260281,-0.0286614612416727,-0.0290422796853522,-0.0237005196555604,-0.0182040811980768,-0.0116826608440179,-0.00551715439424855,-0.000506713889641361
SF_loans ~ 1 + HPI_QoQ_G_L4,1,0.00181412518544552,0.506722796818592,0.00181412518544552,0.506722796818592,0.326343087661001,8.8223701108962e-09,0.326343087661001,8.8223701108962e-09,0.382781841879318,-382.197944241259,1.10464807989433,,,,0.0512778636515549,0.820854429210805,0.785642498685154,2.88657986402541e-15,0.892959750221718,0.883843356490899,1,0.0103484038687059,0.00496147174953622,0.00989458130755264,-0.00062327560937805,0.00490782834587447,0.00514529907097863,0.0048689724910587,0.00485066628997635,0.0050841159318549,0.00506314928341922,0.00479411712949011,0.00502357529927827,0.00549402930177521,1,0.0103484038687059,0.00496147174953622,0.00989458130755264,-0.00062327560937805,-0.00720917569913891,-0.0134098697461672,-0.010904684667945,-0.00790118453170083,-0.0063930577845289,-0.00307618849375752,-0.00167150024408905,0.00181412518544552,0.00181412518544552,1,0.0103484038687059,0.00496147174953622,0.00989458130755264,-0.00062327560937805,-0.0206152227276644,-0.0375691744342054,-0.0324061156386671,-0.0254745676794369,-0.022386571031602,-0.0135041867760922,-0.00859675763973276,0.00181412518544552,0.00218065162075733
SF_loans ~ 1 + HPI_QoQ_G_L2,1,0.00207607170020706,0.497334744724253,0.00207607170020706,0.497334744724253,0.266654821327877,2.46567131996369e-08,0.266654821327877,2.46567131996369e-08,0.363980936601786,-380.127530477612,1.07571098964166,,,,0.966045861782732,0.325668313310478,0.997953251118429,1.88737914186277e-15,0.921540348117334,0.961684811375707,1,0.0100068212302748,-0.000316171375681715,0.00511245782927907,0.00534552893480394,0.00507432185679634,0.00505635481465946,0.00528547933555841,0.0052649011361702,0.00500085334033983,0.00522606033914266,0.00568779824141447,0.00590080417585621,0.00563439326990122,1,0.0100068212302748,-0.000316171375681715,-0.0067800545095863,-0.0128658683122284,-0.0104070967922041,-0.00745924249609466,-0.00597905680970825,-0.00272363914867878,-0.00134497555498984,0.00207607170020706,0.00207607170020706,0.00351138120879079,0.00379348664601745,1,0.0100068212302748,-0.000316171375681715,-0.0199377277355651,-0.0365775736177279,-0.0315101708006515,-0.0247070436145624,-0.0216762582735387,-0.0129584379307563,-0.00814192872274959,0.00207607170020706,0.00243580750109259,0.00603030530480897,0.00742567454772498
SF_loans ~ 1 + HPI_YoY_G,1,0.00149848041286175,0.130981970551807,0.00149848041286175,0.130981970551807,0.431061432709809,2.58985532520753e-08,0.431061432709809,2.58985532520753e-08,0.363068652664815,-380.028630156127,1.05987941348524,,,,0.884502423704182,0.346971460122275,0.92270679485321,1.88737914186277e-15,0.774606959021471,0.802455577612483,1,0.00458320073382821,0.00463153680723366,0.00332228000282362,0.00476386660316372,0.00481028750645991,0.00478865802029221,0.00476894160017279,0.00481447966733789,0.00492242341618888,0.00509318286368321,0.0052636137929137,0.00543015902540691,0.0054647693553101,1,0.00139678633634638,-0.00331901490321552,-0.00841635735802187,-0.010163613123931,-0.00996795471961968,-0.00745516029775578,-0.00517438908114979,-0.00274444295603232,-0.000657907407747059,0.00097290070872725,0.00233011197192083,0.00285933205495844,0.00361536074501218,1,-0.00212860831618674,-0.0127518728647654,-0.0223435542268216,-0.0276234331618723,-0.0279959957880509,-0.0227700405378627,-0.0173927601557369,-0.0110127186061528,-0.00498087505242862,-7.9056604056948e-05,0.00405653698060046,0.0058566508616018,0.00793633657297947
SF_loans ~ 1 + HPI_YoY_G_L4,1,0.00132455529043102,0.127037587515748,0.00132455529043102,0.127037587515748,0.494889437415127,5.30753747820809e-08,0.494889437415127,5.30753747820809e-08,0.349606388857434,-378.585435785849,1.06607149722295,,,,2.08335368077471e-08,0.999884834721517,0.187292611887526,2.88657986402541e-15,0.692041010677918,0.434894443240782,1,0.00943929105685545,0.00843203574351198,0.00838597116517062,0.00570400896531603,0.00431638253264972,0.00436326301650215,0.00309343309128322,0.00449160784106528,0.00453663082812378,0.00451565269097731,0.00449653000992536,0.00454069674652593,0.00464538988393763,1,0.00943929105685545,0.00843203574351198,0.00838597116517062,0.00570400896531603,0.00122592362310514,-0.00334786626686116,-0.00829170766329269,-0.00998634667611994,-0.00979658031700821,-0.00735945603240784,-0.00514736782047809,-0.00279059694409197,-0.000766895199467758,1,0.00943929105685545,0.00843203574351198,0.00838597116517062,0.00570400896531603,-0.0021933075108591,-0.012496663721699,-0.0217995017788912,-0.0269203827631848,-0.0272817260612652,-0.022213144907292,-0.0169977956171328,-0.010809882247874,-0.0049596812613614
SF_loans ~ 1 + HPI_QoQ_G_L1,1,0.00247185214886863,0.45767905238081,0.00247185214886863,0.45767905238081,0.205986713836253,5.28928337224377e-07,0.205986713836253,5.28928337224377e-07,0.304664374649803,-373.975069137065,0.986947581760683,,,,0.518498056330212,0.471483072506315,0.86113875806777,1.88737914186277e-15,0.845594461946933,0.836034368719165,1,0.0002703579728597,0.00526612771669856,0.00548061456654275,0.00523103257015457,0.00521449815564497,0.00542535310739458,0.00540641573996629,0.00516342217022105,0.00537067196906379,0.00579559254379104,0.00599161414747135,0.00574644589354412,0.00593993874043531,1,0.0002703579728597,-0.00567811825730199,-0.0112786710513837,-0.00901595317123713,-0.00630315022490749,-0.00494098924685521,-0.00194514693740663,-0.000676413043776646,0.00247185214886863,0.00247185214886863,0.00379271521490274,0.00405232657435634,0.00430939351202652,1,0.0002703579728597,-0.0177866457178984,-0.0330996898514498,-0.0284363435963289,-0.0221756734203858,-0.0193865520538131,-0.0113638594998814,-0.00693140149551216,0.00247185214886863,0.00280290390465944,0.00611078931994841,0.00739489681413367,0.00864134629234892
SF_loans ~ 1 + GDPN_YoY_G_L1,1,-0.0120356048684532,0.477757692366388,-0.0120356048684532,0.477757692366388,0.00320807070028866,1.34293975891753e-06,0.00320807070028866,1.34293975891753e-06,0.285653133834529,-372.113862574314,0.941106940149681,,,,0.175598448573184,0.675183474959105,0.00107200141642039,3.5527136788005e-15,0.00404920463270836,0.00229910258141137,1,0.0137136164833379,0.0274699819070685,0.0270781403598629,0.0275322621218735,0.0240573829691645,0.00996215122107188,0.00948789282062305,0.00901347195790674,0.00853890833751622,0.00818438187951482,0.00794977371933953,0.00783504790668057,0.00784024968946912,1,0.0137136164833379,0.0232401969376595,0.0152090207009746,0.00945093590444453,0.00132177485867824,-0.011925450720702,-0.00761038723488616,-0.00373603011021484,0.000633539798475427,0.00444203581154997,0.0073161868314448,0.00960389073844707,0.0103324006849522,1,0.0137136164833379,0.0188860061692938,0.0039597201444034,-0.00725097852630283,-0.0192545262878693,-0.0314955298423067,-0.0231045510213381,-0.0156405774944688,-0.00717061024812667,0.000602150176912312,0.00643857149405882,0.0111299486922069,0.0125838916823863
